ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,Department,salary,Sex,Education,Old_Jobs
78,0.4,0.54,2,137,3,0,1,0,marketing,medium,,4,3
79,0.43,0.56,2,157,3,0,1,0,sales,low,,4,3
80,0.39,0.56,2,142,3,0,1,0,accounting,low,,4,3
81,0.45,0.54,2,140,3,0,1,0,support,low,,4,3
82,0.38,0.49,2,151,3,0,1,0,technical,low,,4,3
83,0.79,0.59,4,139,3,0,1,1,management,low,,4,3
84,0.84,0.85,4,249,6,0,1,0,marketing,low,,4,3
85,0.11,0.77,6,291,4,0,1,0,marketing,low,,4,3
86,0.11,0.87,6,305,4,0,1,0,marketing,low,,4,3
87,0.17,0.84,5,232,3,0,1,0,sales,low,,4,3
88,0.44,0.45,2,132,3,0,1,0,sales,low,,4,3
89,0.37,0.57,2,130,3,0,1,0,sales,low,,4,3
90,0.1,0.79,6,291,4,0,1,0,sales,low,,4,3
91,0.4,0.5,2,130,3,0,1,0,sales,low,,4,3
92,0.89,1,5,246,5,0,1,0,sales,low,,4,3
93,0.42,0.48,2,143,3,0,1,0,sales,low,,4,3
94,0.46,0.55,2,129,3,0,1,0,sales,low,,4,3
95,0.09,0.83,6,255,4,0,1,0,sales,low,,4,3
96,0.37,0.51,2,155,3,0,1,0,sales,low,,4,3
97,0.1,0.77,6,265,4,0,1,0,sales,low,,4,3
98,0.1,0.84,6,279,4,0,1,0,sales,low,,4,3
99,0.11,0.97,6,284,4,0,1,0,sales,low,,4,3
100,0.9,1,5,221,6,0,1,0,sales,medium,,4,3
101,0.38,0.52,2,154,3,0,1,0,sales,medium,,4,3
102,0.36,0.52,2,147,3,0,1,0,sales,medium,,4,3
103,0.42,0.46,2,150,3,0,1,0,sales,medium,,4,3
104,0.09,0.94,7,267,4,0,1,0,sales,medium,,4,3
105,0.43,0.52,2,158,3,0,1,0,sales,medium,,4,3
106,0.24,0.46,7,224,5,0,1,0,accounting,medium,,4,3
107,0.91,1,4,257,5,0,1,0,accounting,medium,,4,3
108,0.44,0.5,2,148,3,0,1,0,accounting,medium,,4,3
109,0.71,0.87,3,177,4,0,1,0,hr,medium,,4,3
110,0.4,0.49,2,155,3,0,1,0,hr,medium,,4,3
111,0.43,0.47,2,144,3,0,1,0,hr,medium,,4,3
112,0.09,0.85,6,289,4,0,1,0,hr,high,,4,3
113,0.43,0.52,2,160,3,0,1,0,technical,low,,4,3
114,0.9,0.96,4,258,5,0,1,0,technical,medium,,4,3
115,0.84,1,5,234,5,0,1,0,technical,medium,,4,3
116,0.37,0.48,2,137,3,0,1,0,technical,medium,,4,3
117,0.86,0.68,5,263,2,0,1,0,technical,medium,,4,3
118,0.11,0.84,6,251,4,0,1,0,technical,low,,4,3
119,0.37,0.57,2,133,3,0,1,0,technical,low,,4,3
120,0.4,0.46,2,132,3,0,1,0,technical,low,,4,3
121,0.14,0.62,4,158,4,1,1,0,technical,low,,4,3
122,0.4,0.46,2,135,3,0,1,0,technical,low,,4,3
123,0.75,1,4,216,6,0,1,0,technical,low,,4,3
124,0.11,0.84,6,300,5,1,1,0,support,low,,4,3
125,0.46,0.49,2,138,3,0,1,0,support,low,,4,3
126,0.11,0.92,6,260,4,0,1,0,support,low,,4,3
127,0.38,0.49,2,132,3,0,1,0,support,low,,4,3
128,0.7,0.89,3,183,5,0,1,0,support,low,,4,3
129,0.09,0.82,6,250,4,0,1,0,support,low,,4,3
130,0.37,0.45,2,151,3,0,1,0,support,low,,4,3
131,0.1,0.83,6,292,4,0,1,0,support,low,,4,3
132,0.38,0.57,2,140,3,0,1,0,support,low,,4,3
133,0.9,1,5,221,5,0,1,0,support,low,,4,3
134,0.44,0.51,2,138,3,0,1,0,support,low,,4,3
135,0.36,0.5,2,132,3,0,1,0,technical,low,,4,3
136,0.31,0.84,7,133,5,0,1,0,technical,low,,4,3
137,0.1,0.84,6,283,4,1,1,0,technical,low,,4,3
138,0.42,0.48,2,129,3,0,1,0,management,low,,4,3
139,0.74,1,4,249,5,0,1,0,IT,low,,4,3
140,0.73,0.87,5,257,5,0,1,0,IT,low,,4,3
141,0.09,0.96,6,245,4,0,1,0,IT,low,,4,3
142,0.45,0.53,2,155,3,0,1,0,IT,low,,4,3
143,0.11,0.8,6,256,4,0,1,0,IT,low,,4,3
144,0.37,0.47,2,152,3,0,1,0,product_mng,low,,4,3
145,0.84,0.99,4,267,5,0,1,0,product_mng,low,,4,3
146,0.41,0.46,2,151,3,0,1,0,product_mng,low,,4,3
147,0.76,0.92,4,239,5,0,1,0,product_mng,low,,4,3
148,0.11,0.87,6,306,4,0,1,0,IT,low,,4,3
149,0.84,0.88,4,263,5,1,1,0,marketing,low,,4,3
150,0.39,0.5,2,147,3,0,1,0,marketing,low,,4,3
151,0.11,0.91,6,278,4,0,1,0,marketing,low,,4,3
152,0.45,0.56,2,154,3,0,1,0,marketing,low,,4,3
153,0.37,0.52,2,143,3,0,1,0,marketing,low,,4,3
154,0.4,0.52,2,155,3,0,1,0,marketing,low,,4,3
155,0.39,0.48,2,160,3,0,1,0,sales,low,,4,3
156,0.11,0.8,6,304,4,0,1,0,accounting,low,,4,3
157,0.83,1,5,240,5,0,1,0,support,low,,4,3
158,0.11,0.92,6,305,4,0,1,0,technical,low,,4,3
159,0.39,0.5,2,136,3,0,1,0,management,low,,4,3
160,0.45,0.45,2,132,3,0,1,0,marketing,low,,4,3
161,0.1,0.95,7,301,4,0,1,0,marketing,low,,4,3
162,0.9,0.98,5,243,6,0,1,0,marketing,low,,4,3
163,0.45,0.51,2,147,3,0,1,0,sales,low,,4,3
164,0.79,0.89,5,239,5,0,1,0,sales,low,,4,3
165,0.9,0.99,5,260,5,0,1,0,sales,low,,4,3
166,0.11,0.84,7,296,4,0,1,0,sales,low,,4,3
167,0.43,0.55,2,129,3,0,1,0,sales,low,,4,3
168,0.31,0.54,5,132,5,0,1,0,sales,low,,4,3
169,0.32,0.5,2,135,5,0,1,0,sales,low,,4,3
170,0.45,0.57,2,158,3,0,1,0,sales,low,,4,3
171,0.81,0.99,4,259,5,0,1,0,sales,low,,4,3
172,0.41,0.46,2,160,3,0,1,1,sales,low,,4,3
173,0.11,0.78,7,278,4,0,1,0,sales,low,,4,3
174,0.1,0.88,6,284,4,0,1,0,sales,low,,4,3
175,0.7,0.53,2,274,4,0,1,0,sales,low,,4,3
176,0.54,0.74,4,164,2,0,1,0,sales,low,,4,3
177,0.41,0.48,2,148,3,0,1,0,sales,low,,4,3
178,0.38,0.5,2,140,3,0,1,0,sales,medium,,4,3
179,0.37,0.51,2,127,3,0,1,0,sales,medium,,4,3
180,0.11,0.85,6,308,5,0,1,0,sales,medium,,4,3
181,0.4,0.47,2,146,3,0,1,0,sales,medium,,4,3
182,0.1,0.84,6,261,4,0,1,0,accounting,medium,,4,3
183,0.89,0.99,5,257,5,0,1,0,accounting,medium,,4,3
184,0.11,0.8,6,285,4,0,1,0,accounting,medium,,4,3
185,0.36,0.55,2,141,3,0,1,0,hr,medium,,4,3
186,0.4,0.46,2,127,3,0,1,0,hr,medium,,4,3
187,0.09,0.85,6,297,4,0,1,0,hr,medium,,4,3
188,0.4,0.46,2,143,3,0,1,0,hr,medium,,4,3
189,0.37,0.55,2,152,3,0,1,0,technical,medium,,4,3
190,0.44,0.51,2,156,3,0,1,0,technical,high,,4,3
191,0.09,0.8,7,283,5,0,1,0,technical,low,,4,3
192,0.92,0.87,4,226,6,1,1,0,technical,medium,,4,3
193,0.74,0.91,4,232,5,0,1,0,technical,medium,,4,3
194,0.09,0.82,6,249,4,0,1,0,technical,medium,,4,3
195,0.89,0.95,4,275,5,0,1,0,technical,medium,,4,3
196,0.09,0.8,6,304,4,0,1,0,technical,low,,4,3
197,0.27,0.54,7,278,3,0,1,0,technical,low,,4,3
198,0.1,0.91,6,287,4,0,1,0,technical,low,,4,3
199,0.1,0.89,7,285,4,0,1,0,technical,low,,4,3
200,0.77,0.94,5,226,6,0,1,0,support,low,,4,3
201,0.9,0.82,5,259,5,0,1,0,support,low,,4,3
202,0.39,0.5,2,135,3,0,1,0,support,low,,4,3
203,0.76,1,5,219,5,0,1,0,support,low,,4,3
204,0.1,0.93,6,256,4,0,1,0,support,low,,4,3
205,0.87,0.9,5,254,6,0,1,0,support,low,,4,3
206,0.38,0.5,2,153,3,0,1,0,support,low,,4,3
207,0.77,0.99,5,228,5,0,1,0,support,low,,4,3
208,0.78,0.87,4,228,5,0,1,0,support,low,,4,3
209,0.44,0.5,2,128,3,0,1,0,support,low,,4,3
210,0.38,0.52,2,153,3,0,1,0,support,low,,4,3
211,0.43,0.46,2,156,3,0,1,0,technical,low,,4,3
212,0.39,0.5,4,294,3,0,1,0,technical,low,,4,3
213,0.88,1,5,219,5,0,1,0,technical,low,,4,3
214,0.45,0.46,2,153,3,0,1,0,management,low,,4,3
215,0.4,0.53,2,151,3,0,1,0,IT,low,,4,3
216,0.36,0.51,2,155,3,0,1,0,IT,low,,4,3
217,0.36,0.48,2,158,3,0,1,0,IT,low,,4,3
218,0.9,0.98,5,245,5,0,1,0,IT,low,,4,3
219,0.43,0.53,2,131,3,0,1,0,IT,low,,4,3
220,0.89,0.87,5,225,5,0,1,0,product_mng,low,,4,3
221,0.1,0.84,6,286,4,0,1,0,product_mng,low,,4,3
222,0.37,0.5,2,135,3,0,1,0,product_mng,low,,4,3
223,0.37,0.51,2,153,3,0,1,0,product_mng,low,,4,3
224,0.87,0.9,5,252,5,0,1,0,IT,low,,4,3
225,0.4,0.56,2,149,3,0,1,0,accounting,low,,4,3
226,0.9,0.97,4,258,5,0,1,0,accounting,low,,4,3
227,0.37,0.46,2,158,3,0,1,0,hr,low,,4,3
228,0.44,0.54,2,149,3,0,1,0,hr,low,,4,3
229,0.85,0.95,5,236,5,0,1,0,hr,low,,4,3
230,0.78,0.98,5,239,6,0,1,0,marketing,low,,4,3
231,0.42,0.47,2,159,3,0,1,0,marketing,low,,4,3
232,0.92,0.99,5,255,6,0,1,0,sales,low,,4,3
233,0.11,0.83,6,244,4,0,1,0,accounting,low,,4,3
234,0.42,0.56,2,134,3,0,1,0,support,low,,4,3
235,0.48,0.57,4,270,4,0,1,0,technical,low,,4,3
236,0.83,0.85,4,255,5,0,1,0,management,low,,4,3
237,0.4,0.53,2,151,3,0,1,0,marketing,low,,4,3
238,0.43,0.45,2,135,3,0,1,0,marketing,low,,4,3
239,0.43,0.53,2,146,3,0,1,0,marketing,low,,4,3
240,0.1,0.97,7,254,4,0,1,0,sales,low,,4,3
241,0.1,0.87,7,289,4,0,1,0,sales,low,,4,3
242,0.37,0.46,2,156,3,0,1,0,sales,low,,4,3
243,0.38,0.53,2,156,3,0,1,0,sales,low,,4,3
244,0.4,0.5,2,128,3,0,1,0,sales,low,,4,3
245,0.89,0.86,5,275,5,0,1,0,sales,low,,4,3
246,0.45,0.46,2,155,3,0,1,0,sales,low,,4,3
247,0.37,0.48,2,159,3,0,1,0,sales,low,,4,3
248,0.46,0.49,2,148,3,0,1,0,sales,low,,4,3
249,0.87,0.91,4,228,5,0,1,0,sales,low,,4,3
250,0.11,0.84,6,298,4,0,1,0,sales,low,,4,3
251,0.79,0.87,5,261,5,0,1,0,sales,low,,4,3
252,0.79,0.92,5,254,6,0,1,0,sales,low,,4,3
253,0.19,0.59,7,192,3,0,1,0,sales,low,,4,3
254,0.87,0.98,4,248,5,0,1,0,sales,low,,4,3
255,0.6,0.92,2,258,5,0,1,0,sales,low,,4,3
256,0.44,0.45,2,156,3,0,1,0,sales,medium,,4,3
257,0.11,0.81,6,266,4,1,1,0,sales,medium,,4,3
258,0.42,0.54,2,156,3,0,1,0,sales,medium,,4,3
259,0.88,0.88,5,232,5,1,1,0,accounting,medium,,4,3
260,0.11,0.84,6,287,4,0,1,0,accounting,medium,,4,3
261,0.46,0.46,2,154,3,0,1,0,accounting,medium,,4,3
262,0.82,0.97,5,263,5,0,1,0,hr,medium,,4,3
263,0.44,0.56,2,131,3,0,1,0,hr,medium,,4,3
264,0.11,0.78,6,260,4,0,1,0,hr,medium,,4,3
265,0.42,0.5,2,139,3,0,1,0,hr,medium,,4,3
266,0.84,0.93,4,251,5,0,1,0,technical,medium,,4,3
267,0.11,0.95,6,286,4,0,1,0,technical,medium,,4,3
268,0.45,0.53,2,129,3,0,1,0,technical,high,,4,3
269,0.38,0.56,2,156,3,0,1,0,technical,low,,4,3
270,0.38,0.86,6,139,6,0,1,0,technical,medium,,4,3
271,0.44,0.51,2,127,3,0,1,0,technical,medium,,4,3
272,0.11,0.84,6,251,4,0,1,0,technical,medium,,4,3
273,0.81,0.93,5,270,5,0,1,0,technical,medium,,4,3
274,0.09,0.96,6,296,4,0,1,0,technical,low,,4,3
275,0.11,0.9,6,254,4,0,1,0,technical,low,,4,3
276,0.81,0.95,5,238,6,0,1,0,technical,low,,4,3
277,0.1,0.97,6,267,4,1,1,0,support,low,,4,3
278,0.74,0.89,5,229,6,0,1,0,support,low,,4,3
279,0.09,0.78,6,254,4,0,1,0,support,low,,4,3
280,0.82,0.81,4,233,4,1,1,0,support,low,,4,3
281,0.1,0.98,6,268,4,0,1,0,support,low,,4,3
282,0.27,0.56,3,301,3,0,1,0,support,low,,4,3
283,0.83,0.92,5,267,6,0,1,0,support,low,,4,3
284,0.1,0.93,6,289,4,1,1,0,support,low,,4,3
285,0.38,0.47,2,144,3,0,1,0,support,low,,4,3
286,0.4,0.56,2,148,3,0,1,0,support,low,,4,3
287,0.11,0.83,6,306,4,0,1,0,support,low,,4,3
288,0.11,0.79,6,292,4,0,1,1,technical,low,,4,3
289,0.82,0.91,5,232,5,0,1,0,technical,low,,4,3
290,0.36,0.48,2,137,3,0,1,0,technical,low,,4,3
291,0.4,0.46,2,128,3,0,1,0,management,low,,4,3
292,0.87,0.84,5,231,5,0,1,0,IT,low,,4,3
293,0.41,0.49,2,146,3,0,1,0,IT,low,,4,3
294,0.11,0.91,6,308,4,1,1,0,IT,low,,4,3
295,0.1,0.93,6,253,4,0,1,0,IT,medium,,4,3
296,0.38,0.51,2,146,3,0,1,0,IT,medium,,4,3
297,0.39,0.55,2,156,3,0,1,0,product_mng,medium,,4,3
298,0.4,0.52,2,147,3,0,1,0,product_mng,medium,,4,3
299,0.45,0.48,2,136,3,0,1,0,product_mng,medium,,4,3
300,0.74,0.84,5,249,5,0,1,0,product_mng,medium,,4,3
301,0.45,0.55,2,151,3,0,1,0,IT,medium,,4,3
302,0.12,1,3,278,4,0,1,0,RandD,medium,,4,3
303,0.1,0.77,7,250,5,0,1,0,RandD,medium,,4,3
304,0.37,0.55,2,127,3,0,1,0,RandD,medium,,4,3
305,0.89,0.87,5,255,5,0,1,0,RandD,medium,,4,3
306,0.45,0.47,2,135,3,0,1,0,RandD,medium,,4,3
307,0.37,0.46,2,149,3,0,1,0,marketing,high,,4,3
308,0.11,0.81,5,287,4,0,1,0,sales,low,,4,3
309,0.41,0.48,2,145,3,0,1,0,accounting,medium,,4,3
310,0.1,0.94,6,285,4,0,1,0,support,medium,,4,3
311,0.1,0.93,7,305,4,0,1,0,technical,medium,,4,3
312,0.11,0.95,7,300,4,0,1,0,management,medium,,4,3
313,0.4,0.54,2,139,3,0,1,0,marketing,low,,4,3
314,0.41,0.49,2,130,3,0,1,0,marketing,low,,4,3
315,0.1,0.81,6,268,4,0,1,0,marketing,low,,4,3
316,0.73,0.86,4,245,6,0,1,0,sales,low,,4,3
317,0.43,0.47,2,135,3,0,1,0,sales,low,,4,3
318,0.37,0.46,2,153,3,0,1,0,sales,low,,4,3
319,0.11,0.94,6,276,4,0,1,0,sales,low,,4,3
320,0.4,0.46,2,130,3,0,1,0,sales,low,,4,3
321,0.41,0.54,2,153,3,1,1,0,sales,low,,4,3
322,0.82,0.84,5,244,5,0,1,0,sales,low,,4,3
323,0.61,0.47,2,253,3,0,1,0,sales,low,,4,3
324,0.11,0.91,7,287,4,0,1,0,sales,low,,4,3
325,0.37,0.45,2,131,3,0,1,0,sales,low,,4,3
326,0.41,0.52,2,135,3,0,1,0,sales,low,,4,3
327,0.37,0.52,2,157,3,0,1,0,sales,low,,4,3
328,0.88,0.99,5,262,6,0,1,0,sales,low,,4,3
329,0.1,0.85,6,266,4,0,1,0,sales,low,,4,3
330,0.44,0.48,2,148,3,0,1,0,sales,low,,4,3
331,0.38,0.57,2,140,3,0,1,0,sales,low,,4,3
332,0.11,0.85,7,302,4,0,1,0,sales,low,,4,3
333,0.09,0.98,6,271,4,0,1,0,sales,low,,4,3
334,0.45,0.52,2,145,3,0,1,0,sales,medium,,4,3
335,0.1,0.81,6,290,4,0,1,0,accounting,medium,,4,3
336,0.45,0.47,2,151,3,0,1,0,accounting,medium,,4,3
337,0.77,0.87,5,266,5,0,1,0,accounting,medium,,4,3
338,0.44,0.51,2,140,3,0,1,0,hr,medium,,4,3
339,0.39,0.5,2,142,3,0,1,0,hr,medium,,4,3
340,0.1,0.91,6,246,4,0,1,0,hr,medium,,4,3
341,0.09,0.89,7,308,5,0,1,0,hr,medium,,4,3
342,0.37,0.47,2,141,3,0,1,0,technical,medium,,4,3
343,0.9,1,5,232,5,0,1,0,technical,medium,,4,3
344,0.41,0.56,2,143,3,0,1,0,technical,medium,,4,3
345,0.37,0.52,2,155,3,0,1,0,technical,medium,,4,3
346,0.1,0.86,6,278,4,0,1,0,technical,high,,4,3
347,0.81,1,4,253,5,0,1,0,technical,low,,4,3
348,0.11,0.8,6,282,4,0,1,0,technical,medium,,4,3
349,0.11,0.84,7,264,4,0,1,0,technical,medium,,4,3
350,0.4,0.46,2,149,3,0,1,0,technical,medium,,4,3
351,0.09,0.8,6,304,5,0,1,0,technical,medium,,4,3
352,0.48,0.93,3,219,6,0,1,0,technical,low,,4,3
353,0.91,0.91,4,262,6,0,1,0,support,low,,4,3
354,0.43,0.57,2,135,3,0,1,0,support,low,,4,3
355,0.33,0.88,6,219,5,0,1,0,support,low,,4,3
356,0.41,0.57,2,136,3,0,1,0,support,low,,4,3
357,0.41,0.55,2,154,3,0,1,0,support,low,,4,3
358,0.37,0.54,2,149,3,0,1,0,support,low,,4,3
359,0.31,0.62,6,135,5,0,1,0,support,low,,4,3
360,0.09,0.91,6,275,4,0,1,0,support,low,,4,3
361,0.1,0.87,6,290,4,0,1,0,support,low,,4,3
362,0.76,0.9,4,263,5,0,1,0,support,low,,4,3
363,0.41,0.54,2,145,3,0,1,0,support,low,,4,3
364,0.72,0.96,5,267,5,0,1,0,technical,low,,4,3
365,0.4,0.5,2,141,3,1,1,0,technical,low,,4,3
366,0.91,0.87,4,235,5,0,1,0,technical,low,,4,3
367,0.1,0.83,6,258,4,0,1,0,management,low,,4,3
368,0.4,0.56,2,131,3,0,1,0,IT,low,,4,3
369,0.82,0.86,5,243,5,0,1,0,IT,low,,4,3
370,0.1,0.82,6,266,4,0,1,0,IT,low,,4,3
371,0.37,0.45,2,142,3,0,1,0,IT,low,,4,3
372,0.36,0.51,2,135,3,0,1,0,IT,low,,4,3
373,0.39,0.48,2,141,3,0,1,0,product_mng,medium,,4,3
374,0.36,0.57,2,142,3,0,1,0,product_mng,medium,,4,3
375,0.86,0.84,5,254,5,0,1,0,product_mng,medium,,4,3
376,0.73,0.99,5,262,5,0,1,0,product_mng,medium,,4,3
377,0.56,0.71,4,296,2,0,1,0,IT,medium,,4,3
378,0.44,0.56,2,158,3,0,1,0,accounting,medium,,4,3
379,0.31,0.56,4,238,2,0,1,0,accounting,medium,,4,3
380,0.77,0.93,4,231,5,0,1,0,hr,medium,,4,3
381,0.44,0.45,2,156,3,0,1,0,hr,medium,,4,3
382,0.38,0.46,2,145,3,0,1,0,hr,medium,,4,3
383,0.45,0.48,2,144,3,0,1,0,marketing,medium,,4,3
384,0.38,0.51,2,159,3,0,1,0,sales,medium,,4,3
385,0.36,0.48,2,156,3,0,1,0,accounting,high,,4,3
386,0.75,0.9,5,256,5,0,1,0,support,low,,4,3
387,0.1,0.93,6,298,4,0,1,0,technical,medium,,4,3
388,0.1,0.97,6,247,4,0,1,0,management,medium,,4,3
389,0.45,0.5,2,157,3,0,1,0,marketing,medium,,4,3
390,0.42,0.57,2,154,3,1,1,0,marketing,medium,,4,3
391,0.78,1,4,253,5,0,1,0,marketing,low,,4,3
392,0.45,0.55,2,148,3,0,1,0,sales,low,,4,3
393,0.84,1,4,261,5,0,1,0,sales,low,,4,3
394,0.11,0.93,6,282,4,0,1,0,sales,low,,4,3
395,0.42,0.56,2,133,3,0,1,0,sales,low,,4,3
396,0.45,0.46,2,128,3,0,1,0,sales,low,,4,3
397,0.46,0.57,2,139,3,0,1,0,sales,low,,4,3
398,0.09,0.79,6,293,5,0,1,0,sales,low,,4,3
399,0.87,0.83,4,265,6,0,1,0,sales,low,,4,3
400,0.1,0.87,6,250,4,0,1,0,sales,low,,4,3
401,0.91,1,5,251,6,0,1,0,sales,low,,4,3
402,0.76,0.92,4,246,5,0,1,0,sales,low,,4,3
403,0.74,1,5,275,5,0,1,0,sales,low,,4,3
404,0.92,0.93,5,240,5,0,1,0,sales,low,,4,3
405,0.76,0.87,5,245,5,0,1,0,sales,low,,4,3
406,0.47,0.5,4,254,4,0,1,0,sales,low,,4,3
407,0.73,0.99,5,241,5,0,1,0,sales,low,,4,3
408,0.09,0.94,6,257,4,0,1,0,sales,low,,4,3
409,0.91,0.92,4,246,5,0,1,0,sales,low,,4,3
410,0.82,0.98,4,233,5,0,1,0,sales,low,,4,3
411,0.28,0.45,6,218,4,0,1,0,accounting,low,,4,3
412,0.84,0.99,4,262,6,0,1,0,accounting,medium,,4,3
413,0.45,0.53,2,138,3,0,1,0,accounting,medium,,4,3
414,0.45,0.54,2,142,3,0,1,0,hr,medium,,4,3
415,0.91,0.97,5,233,5,0,1,0,hr,medium,,4,3
416,0.42,0.48,2,155,3,0,1,0,hr,medium,,4,3
417,0.82,1,4,229,6,0,1,0,hr,medium,,4,3
418,0.11,0.9,6,264,4,0,1,0,technical,medium,,4,3
419,0.42,0.53,3,199,4,0,1,0,technical,medium,,4,3
420,0.82,0.85,4,223,5,0,1,0,technical,medium,,4,3
421,0.09,0.96,6,268,4,0,1,0,technical,medium,,4,3
422,0.1,0.94,6,287,4,0,1,0,technical,medium,,4,3
423,0.86,1,5,257,5,0,1,0,technical,medium,,4,3
424,0.4,0.46,2,143,3,0,1,0,technical,high,,4,3
425,0.45,0.46,2,130,3,0,1,0,technical,low,,4,3
426,0.42,0.51,2,136,3,0,1,0,technical,medium,,4,3
427,0.74,0.92,4,261,5,0,1,0,technical,medium,,4,3
428,0.55,0.6,3,180,4,0,1,0,technical,medium,,4,3
