ID,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,IT,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical,high,low,medium,left
29,0.41,0.46,2,128,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
30,0.38,0.5,2,132,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
31,0.09,0.62,6,294,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,0.45,0.57,2,134,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
33,0.4,0.51,2,145,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
34,0.45,0.55,2,140,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
35,0.84,0.87,4,246,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
36,0.1,0.94,6,255,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
37,0.38,0.46,2,137,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
38,0.45,0.5,2,126,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
39,0.11,0.89,6,306,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
40,0.41,0.54,2,152,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
41,0.87,0.88,5,269,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
42,0.45,0.48,2,158,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
43,0.4,0.46,2,127,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
44,0.1,0.8,7,281,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
45,0.09,0.89,6,276,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
46,0.84,0.74,3,182,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
47,0.4,0.55,2,147,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
48,0.57,0.7,3,273,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
49,0.4,0.54,2,148,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
50,0.43,0.47,2,147,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
51,0.13,0.78,6,152,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
52,0.44,0.55,2,135,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
53,0.38,0.55,2,134,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
54,0.39,0.54,2,132,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
55,0.1,0.92,7,307,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
56,0.37,0.46,2,140,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
57,0.11,0.94,7,255,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
58,0.1,0.81,6,309,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
59,0.38,0.54,2,128,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
60,0.85,1,4,225,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
61,0.85,0.91,5,226,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
62,0.11,0.93,7,308,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
63,0.1,0.95,6,244,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
64,0.36,0.56,2,132,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
65,0.11,0.94,6,286,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
66,0.81,0.7,6,161,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
67,0.43,0.54,2,153,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
68,0.9,0.98,4,264,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
69,0.76,0.86,5,223,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
70,0.43,0.5,2,135,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
71,0.74,0.99,2,277,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
72,0.09,0.77,5,275,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
73,0.45,0.49,2,149,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
74,0.09,0.87,7,295,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
75,0.11,0.97,6,277,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
76,0.11,0.79,7,306,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
77,0.1,0.83,6,295,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
78,0.4,0.54,2,137,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
79,0.43,0.56,2,157,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
80,0.39,0.56,2,142,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
81,0.45,0.54,2,140,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
82,0.38,0.49,2,151,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
83,0.79,0.59,4,139,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
84,0.84,0.85,4,249,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
85,0.11,0.77,6,291,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
86,0.11,0.87,6,305,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
87,0.17,0.84,5,232,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
88,0.44,0.45,2,132,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
89,0.37,0.57,2,130,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
90,0.1,0.79,6,291,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
91,0.4,0.5,2,130,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
92,0.89,1,5,246,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
93,0.42,0.48,2,143,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
94,0.46,0.55,2,129,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
95,0.09,0.83,6,255,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
96,0.37,0.51,2,155,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
97,0.1,0.77,6,265,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
98,0.1,0.84,6,279,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
99,0.11,0.97,6,284,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
100,0.9,1,5,221,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
101,0.38,0.52,2,154,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
102,0.36,0.52,2,147,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
103,0.42,0.46,2,150,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
104,0.09,0.94,7,267,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
105,0.43,0.52,2,158,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
106,0.24,0.46,7,224,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
107,0.91,1,4,257,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
108,0.44,0.5,2,148,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
109,0.71,0.87,3,177,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
110,0.4,0.49,2,155,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
111,0.43,0.47,2,144,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
112,0.09,0.85,6,289,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
113,0.43,0.52,2,160,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
114,0.9,0.96,4,258,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
115,0.84,1,5,234,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
116,0.37,0.48,2,137,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
117,0.86,0.68,5,263,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
118,0.11,0.84,6,251,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
119,0.37,0.57,2,133,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
120,0.4,0.46,2,132,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
121,0.14,0.62,4,158,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
122,0.4,0.46,2,135,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
123,0.75,1,4,216,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
124,0.11,0.84,6,300,5,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
125,0.46,0.49,2,138,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
126,0.11,0.92,6,260,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
127,0.38,0.49,2,132,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
128,0.7,0.89,3,183,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
129,0.09,0.82,6,250,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
130,0.37,0.45,2,151,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
131,0.1,0.83,6,292,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
132,0.38,0.57,2,140,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
133,0.9,1,5,221,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
134,0.44,0.51,2,138,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
135,0.36,0.5,2,132,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
136,0.31,0.84,7,133,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
137,0.1,0.84,6,283,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
138,0.42,0.48,2,129,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
139,0.74,1,4,249,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
140,0.73,0.87,5,257,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
141,0.09,0.96,6,245,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
142,0.45,0.53,2,155,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
143,0.11,0.8,6,256,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
144,0.37,0.47,2,152,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
145,0.84,0.99,4,267,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
146,0.41,0.46,2,151,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
147,0.76,0.92,4,239,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
148,0.11,0.87,6,306,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
149,0.84,0.88,4,263,5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
150,0.39,0.5,2,147,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
151,0.11,0.91,6,278,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
152,0.45,0.56,2,154,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
153,0.37,0.52,2,143,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
154,0.4,0.52,2,155,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
155,0.39,0.48,2,160,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
156,0.11,0.8,6,304,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
157,0.83,1,5,240,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
158,0.11,0.92,6,305,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
159,0.39,0.5,2,136,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
160,0.45,0.45,2,132,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
161,0.1,0.95,7,301,4,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
162,0.9,0.98,5,243,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
163,0.45,0.51,2,147,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
164,0.79,0.89,5,239,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
165,0.9,0.99,5,260,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
166,0.11,0.84,7,296,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
167,0.43,0.55,2,129,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
168,0.31,0.54,5,132,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
169,0.32,0.5,2,135,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
170,0.45,0.57,2,158,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
171,0.81,0.99,4,259,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
172,0.41,0.46,2,160,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
173,0.11,0.78,7,278,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
174,0.1,0.88,6,284,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
175,0.7,0.53,2,274,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
176,0.54,0.74,4,164,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
177,0.41,0.48,2,148,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
178,0.38,0.5,2,140,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
179,0.37,0.51,2,127,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
180,0.11,0.85,6,308,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
181,0.4,0.47,2,146,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
182,0.1,0.84,6,261,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
183,0.89,0.99,5,257,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
184,0.11,0.8,6,285,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
185,0.36,0.55,2,141,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
186,0.4,0.46,2,127,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
187,0.09,0.85,6,297,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
188,0.4,0.46,2,143,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
189,0.37,0.55,2,152,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
190,0.44,0.51,2,156,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
191,0.09,0.8,7,283,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
192,0.92,0.87,4,226,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
193,0.74,0.91,4,232,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
194,0.09,0.82,6,249,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
195,0.89,0.95,4,275,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
196,0.09,0.8,6,304,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
197,0.27,0.54,7,278,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
198,0.1,0.91,6,287,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
199,0.1,0.89,7,285,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
200,0.77,0.94,5,226,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
201,0.9,0.82,5,259,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
202,0.39,0.5,2,135,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
203,0.76,1,5,219,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
204,0.1,0.93,6,256,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
205,0.87,0.9,5,254,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
206,0.38,0.5,2,153,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
207,0.77,0.99,5,228,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
208,0.78,0.87,4,228,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
209,0.44,0.5,2,128,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
210,0.38,0.52,2,153,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
211,0.43,0.46,2,156,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
212,0.39,0.5,4,294,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
213,0.88,1,5,219,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
214,0.45,0.46,2,153,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
215,0.4,0.53,2,151,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
216,0.36,0.51,2,155,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
217,0.36,0.48,2,158,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
218,0.9,0.98,5,245,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
219,0.43,0.53,2,131,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
220,0.89,0.87,5,225,5,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
221,0.1,0.84,6,286,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
222,0.37,0.5,2,135,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
223,0.37,0.51,2,153,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
224,0.87,0.9,5,252,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
225,0.4,0.56,2,149,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
226,0.9,0.97,4,258,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
227,0.37,0.46,2,158,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
228,0.44,0.54,2,149,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
229,0.85,0.95,5,236,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
230,0.78,0.98,5,239,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
231,0.42,0.47,2,159,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
232,0.92,0.99,5,255,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
233,0.11,0.83,6,244,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
234,0.42,0.56,2,134,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
235,0.48,0.57,4,270,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
236,0.83,0.85,4,255,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
237,0.4,0.53,2,151,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
238,0.43,0.45,2,135,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
239,0.43,0.53,2,146,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
240,0.1,0.97,7,254,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
241,0.1,0.87,7,289,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
242,0.37,0.46,2,156,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
243,0.38,0.53,2,156,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
244,0.4,0.5,2,128,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
245,0.89,0.86,5,275,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
246,0.45,0.46,2,155,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
247,0.37,0.48,2,159,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
248,0.46,0.49,2,148,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
249,0.87,0.91,4,228,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
250,0.11,0.84,6,298,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
251,0.79,0.87,5,261,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
252,0.79,0.92,5,254,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
253,0.19,0.59,7,192,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
254,0.87,0.98,4,248,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
255,0.6,0.92,2,258,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
256,0.44,0.45,2,156,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
257,0.11,0.81,6,266,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
258,0.42,0.54,2,156,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
259,0.88,0.88,5,232,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
260,0.11,0.84,6,287,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
261,0.46,0.46,2,154,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
262,0.82,0.97,5,263,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
263,0.44,0.56,2,131,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
264,0.11,0.78,6,260,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
265,0.42,0.5,2,139,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
266,0.84,0.93,4,251,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
267,0.11,0.95,6,286,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
268,0.45,0.53,2,129,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
269,0.38,0.56,2,156,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
270,0.38,0.86,6,139,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
271,0.44,0.51,2,127,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
272,0.11,0.84,6,251,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
273,0.81,0.93,5,270,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
274,0.09,0.96,6,296,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
275,0.11,0.9,6,254,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
276,0.81,0.95,5,238,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
277,0.1,0.97,6,267,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
278,0.74,0.89,5,229,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
279,0.09,0.78,6,254,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
280,0.82,0.81,4,233,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
281,0.1,0.98,6,268,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
282,0.27,0.56,3,301,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
283,0.83,0.92,5,267,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
284,0.1,0.93,6,289,4,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
285,0.38,0.47,2,144,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
286,0.4,0.56,2,148,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
287,0.11,0.83,6,306,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
288,0.11,0.79,6,292,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
